name,id,treatment_priority,agonists,synergists,stabilizers,antagonists,inhibit,static_lengthen,active_lengthen,dynamic_lengthen,isolated_activate,static_integrate,dynamic_integrate
general,13,23,"{""lower_back"": 12, ""quads"": 6, ""hip"": 4}","{""groin"": 5, ""hamstrings"": 15}","{""lats"": 21, ""it_band"": 11}","{""core_stabilizers"": 25, ""glutes"": 14}",[],[],[],[],[],"[15, 14, 231]",[]
abdominals,3,4,"{""abdominals"": 3}","{""hip"": 4}","{""lower_back"": 12, ""groin"": 5}","{""upper_back_neck"": 18, ""core_stabilizers"": 25}",[54],[98],[265],[],"[79, 234, 84, 50]",[],[]
achilles,17,18,"{""calves"": 16}","{""foot"": 10}","{""hamstrings"": 15}","{""shin"": 8}",[2],"[7, 26]","[267, 268]",[],"[31, 67, 78, 68]",[],[]
ankle,9,12,"{""calves"": 16}","{""hamstrings"": 15}","{""foot"": 10}","{""shin"": 8}",[],[],[],[],[],[],[]
biceps,22,19,"{""biceps"": 22}","{""shoulder"": 1}",{},"{""triceps"": 23}","[243, 244]",[246],[264],[],"[249, 250]",[],[]
calves,16,10,"{""calves"": 16}","{""it_band"": 11}","{""shin"": 8}","{""shin"": 8, ""foot"": 10}","[2, 71]","[7, 26, 214, 215, 216, 219]","[267, 268, 270, 271]",[],"[31, 78, 67, 68]",[],[]
chest,2,16,"{""chest"": 2}","{""shoulder"": 1, ""lats"": 21}","{""chest"": 2}","{""upper_back_neck"": 18}",[260],"[238, 98, 246]",[276],[],[201],[],[]
core_stabilizers,25,,{},{},{},{},[],[],[],[],"[79, 234, 84, 50]",[],[]
elbow,19,21,"{""biceps"": 22, ""triceps"": 23}","{""shoulder"": 1}","{""forearm"": 24}","{""biceps"": 22, ""triceps"": 23}",[],[],[],[],[],[],[]
erector_spinae,26,,{},{},{},{},[],[],[],[],[],[],[]
foot,10,17,"{""foot"": 10}","{""calves"": 16}","{""shin"": 8}",{},[74],"[59, 60]",[269],[],"[53, 63, 64, 66, 106, 114]",[],[]
forearm,24,,"{""forearm"": 24}","{""biceps"": 22, ""triceps"": 23}","{""shoulder"": 1}","{""forearm"": 24}",[245],"[247, 248]","[261, 262]",[],"[253, 254, 255]",[],[]
glutes,14,3,"{""glutes"": 14}","{""quads"": 6, ""hamstrings"": 15, ""lower_back"": 12}","{""it_band"": 11}","{""hip"": 4, ""groin"": 5}",[44],"[46, 56, 221, 222, 223, 225]","[272, 273, 274]","[53, 63, 64]","[10, 81, 119, 226, 230, 232, 233]",[],[]
groin,5,7,"{""groin"": 5}","{""hip"": 4}","{""abdominals"": 3, ""quads"": 6}","{""glutes"": 14}",[1],[8],[122],[],"[232, 142, 143, 227, 226]",[],[]
hamstrings,15,5,"{""hamstrings"": 15}","{""calves"": 16, ""glutes"": 14}","{""it_band"": 11, ""lower_back"": 12}","{""quads"": 6}",[3],"[215, 9, 121, 216, 218, 219]",[271],"[139, 177]",[230],[],[]
hip,4,2,"{""hip"": 4}","{""hamstrings"": 15, ""quads"": 6}","{""groin"": 5, ""it_band"": 11}","{""glutes"": 14}",[54],"[6, 28, 49, 217, 224]",[277],[],"[142, 143, 229, 228, 236, 232]",[],[]
hip_flexor,28,2,"{""hip"": 4}","{""hamstrings"": 15, ""quads"": 6}","{""groin"": 5, ""it_band"": 11}","{""glutes"": 14}",[54],"[6, 28, 49, 217, 224]",[277],[],"[142, 143, 229, 228, 236, 232]",[],[]
deep_rotators_hip,30,2,"{""hip"": 4}","{""hamstrings"": 15, ""quads"": 6}","{""groin"": 5, ""it_band"": 11}","{""glutes"": 14}",[54],[28],[277],[],[143],[],[]
knee,7,9,"{""hamstrings"": 15}","{""calves"": 16, ""hip"": 4}","{""it_band"": 11, ""shin"": 8}","{""quads"": 6}",[],[],[],[],[],[],[]
lats,21,15,"{""lats"": 21}","{""abdominals"": 3, ""upper_back_neck"": 18}","{""lower_back"": 12, ""chest"": 2}","{""shoulder"": 1, ""biceps"": 22}",[55],"[57, 103, 104]",[263],[],"[241, 239]",[],[]
lower_back,12,1,"{""lower_back"": 12}","{""lats"": 21, ""quads"": 6}","{""it_band"": 11, ""groin"": 5}","{""abdominals"": 3, ""glutes"": 14}",[44],"[56, 103, 104]",[266],[],"[51, 79]",[],[]
obliques,31,4,"{""abdominals"": 3}","{""hip"": 4}","{""lower_back"": 12, ""groin"": 5}","{""upper_back_neck"": 18, ""core_stabilizers"": 25}",[54],[98],[265],[],"[79, 234, 84, 50]",[],[]
it_band,11,6,"{""it_band"": 11}","{""quads"": 6, ""hip"": 4}","{""hamstrings"": 15}","{""groin"": 5, ""glutes"": 14}",[4],"[46, 56, 225, 224]","[272, 273, 274]",[],"[142, 143, 226, 227, 228, 232, 236]",[],[]
it_band_lateral_knee,27,6,"{""it_band"": 11}","{""quads"": 6, ""hip"": 4}","{""hamstrings"": 15}","{""groin"": 5, ""glutes"": 14}",[4],"[46, 56, 225, 224]","[272, 273, 274]",[],"[142, 143, 226, 227, 228, 232, 236]",[],[]
quads,6,8,"{""quads"": 6}","{""it_band"": 11, ""groin"": 5}","{""hip"": 4, ""glutes"": 14}","{""hamstrings"": 15}",[48],[118],[275],[],"[10, 119, 234]",[],[]
shin,8,11,"{""shin"": 8}","{""quads"": 6}","{""groin"": 5, ""it_band"": 11}","{""calves"": 16, ""foot"": 10}","[72, 73]",[60],[269],[],"[75, 29, 64, 65]",[],[]
triceps,23,20,"{""triceps"": 23}","{""shoulder"": 1}",{},"{""biceps"": 22}",[258],"[57, 103, 104]",[263],[],[199],[],[]
shoulder,1,14,"{""shoulder"": 1}","{""lats"": 21}","{""biceps"": 22}","{""chest"": 2, ""upper_back_neck"": 18}",[259],"[130, 246, 215]",[276],[],"[239, 135, 136, 137, 241, 242]",[],[]
deltoid,29,14,"{""shoulder"": 1}","{""lats"": 21}","{""biceps"": 22}","{""chest"": 2, ""upper_back_neck"": 18}",[259],"[130, 246, 215]",[276],[],"[239, 135, 136, 137, 241, 242]",[],[]
upper_back_neck,18,13,"{""upper_back_neck"": 18}","{""chest"": 2}","{""lower_back"": 12, ""lats"": 21}","{""shoulder"": 1}","[102, 125, 126]","[127, 129, 128, 103, 104, 246, 215]","[131, 132, 133]",[],"[51, 136, 137, 242, 135, 134]",[],[]
wrist,20,22,"{""forearm"": 24}","{""biceps"": 22, ""triceps"": 23}",{},{},[],[],[],[],[],[],[]
lower_body,92,24,"{""calves"": 16, ""hamstrings"": 15}","{""groin"": 5, ""it_band"": 11}",{},"{""glutes"": 14}",[],[],[],"[140, 176, 164, 161]",[],[15],"[149, 182, 145, 148]"
upper_body,91,25,"{""shoulder"": 1, ""upper_back_neck"": 18}","{""chest"": 2}",{},"{""lats"": 21, ""upper_back_neck"": 18}",[],[],[],"[179, 180, 164, 165]",[],[240],"[145, 169, 149, 162]"
full_body,93,23,"{""lower_back"": 12, ""quads"": 6, ""hip"": 4}","{""groin"": 5, ""hamstrings"": 15}","{""lats"": 21, ""it_band"": 11}","{""core_stabilizers"": 25, ""glutes"": 14}",[],[],[],"[140, 178, 179, 177]",[],[231],"[162, 203, 148, 145]"
